prompt,expected
"Post-election, by how many percentage points did 'Magnificent 7' stocks initially underperform the S&P 500 before surpassing it?","~5%"
"What approximate forward P/E did S&P 500 ex-Mag 7 reach in 2025, and how did this compare to Mag 7's P/E?","~20; Mag 7 ~30"
"If 'Reciprocal & VAT, 40% China' tariffs were enacted, what peak average US import tariff rate is shown?","~22%"
"Following McKinley tariffs, by roughly how many seats did GOP House representation fall?","100 seats"
"What is Canada's approximate 2024 percentage share of the US total trade deficit per the chart?","~2%"
"What is the projected 10-year cost of the TCJA extension in the budget reconciliation scenario?","$4.1 trillion"
"In the 2018 steel tariff aftermath, what was the ppt difference between import price change and domestic production change?","20.8%"
"What is the sum (in billions) of the three listed components of proposed Medicaid cuts in the budget bill?","$711 billion"
"From Jan 2025 to late Feb 2025, what was the S&P 500's approximate percentage decline per chart?","-10%"
"What historical event serves as a 'time capsule' for negative electoral results of popular-at-enactment tariffs?","1890 midterm elections"
"What key economic activity shows a US trade surplus with Canada, ex-energy?","Autos"
"If US forces in Europe (95k) are cut by 2/3, approximately how many troops remain?","31,667"
"Which is higher: 2025 Magnificent 7 forward P/E, or peak average US import tariff under a 'Reciprocal' scenario (no VAT/China)?","Mag 7 P/E"
"The administration's CHIPs bill attack contrasts with US reliance on which region for semiconductor exports?","Asia"
"What was the estimated consumer cost per new job from 2018 'safeguard' washing machine tariffs?","$817,000"
"What is the approximate deficit share difference between China (largest) and Mexico (second largest) for the US in 2024?","~14%"
"In the 'NATO values' chart, which has the lowest score: Hungary, Poland, or United States?","Hungary"
"If TCJA extension costs $4.1T and spending cuts total $1.44T, what is the subtotal impact on the deficit (increase)?","$2.66 trillion"
"Which plotted US inflation expectation survey showed the highest level in early 2025?","NY Fed 3yr consumers"
"What is the lowest average tariff rate shown on the 'Average tariff rate' chart after 1975 but before 2025 scenarios?","~1-2%"